ID,Parent Id,Name,Has Page Title,Has Meta Description,Has Content,Description 301s,#Desc. 301s,Description 404s,#Des. 404s,Is Visible,Has Banner,No. of live banners,Contains Redirects,Contains Broken Links,No. of Redirected URLs,No. of Broken URLs,Products,Products In Stock,301 URLs,404 URLs,Page Title,Page Title Length,Meta Description,Meta Description Length,URL,Meta Keywords,Search Keywords
1193,1023,Birth Balls,TRUE,TRUE,TRUE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,6,5,"[{""Banner Id"":210,""301 URLs"":[]}]","[{""Banner Id"":210,""404 URLs"":[]}]",Birthing Ball : Medically Certified Pregnancy Ball Products,59,Shop our range of birthing ball and pregnancy balls products and enjoy same day dispatch when ordered before 2pm direct from our warehouse based in Ireland,155,https://www.inhealth.ie/birthing-balls/,Birthing Balls,"Birthing , labour ball, pregnancy ball"
1195,1031,Window & Door Locks,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,5,4,"[{""Banner Id"":279,""301 URLs"":[""https://www.inhealth.ie/babydan-window-lock/""]}]","[{""Banner Id"":279,""404 URLs"":[]}]",Child Window Locks : Quality Approved Child Door Locks,54,Ensure your home is sufficiently baby proofed  with our range of quality child window locks and child door locks. Order today from our warehouse in Ireland,155,https://www.inhealth.ie/window-door-locks/,Window & Door Locks,Window & Door Locks
1198,1047,Breast Pumps,TRUE,TRUE,TRUE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,25,20,"[{""Banner Id"":225,""301 URLs"":[]}]","[{""Banner Id"":225,""404 URLs"":[]}]",Buy Breast Pumps Online: Top-Rated & Affordable Breast Pumps,60,Buy breast pumps from Inhealth & enjoy a choice of high-quality & affordable breast pumps. Order before 2pm for same working-day-dispatch from Ireland!,151,https://www.inhealth.ie/breast-pumps/,Breast Pumps,Breast Pumps
1208,970,Playpens,TRUE,TRUE,TRUE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,16,12,"[{""Banner Id"":263,""301 URLs"":[""https://www.inhealth.ie/babydan-park-a-kid-babyden-white/""]}]","[{""Banner Id"":263,""404 URLs"":[]}]",Playpens: Peace Of Mind For Parents While Baby Plays Safely,59,Shop our selection of playpens from great brands at amazing prices. Remove the worry and rest assured your little one is playing safely at home. Buy yours today!,161,https://www.inhealth.ie/playpens/,Playpens,Playpens
1214,970,Fire & Stove Safety Gates,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,20,11,"[{""Banner Id"":257,""301 URLs"":[]}]","[{""Banner Id"":257,""404 URLs"":[]}]","Fire, Hearth & Stove Safety Gates For Babies & Children",55,Keep babies & small children safe with our range of fire & stove safety gates. Order online & enjoy same-day dispatch when ordered before 2pm.,142,https://www.inhealth.ie/fire-stove-safety-gates/,Fire & Stove Safety Gates,Fire & Stove Safety Gates
1215,1023,Maternity Vitamins & Supplements,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,37,25,"[{""Banner Id"":215,""301 URLs"":[""https://www.inhealth.ie/vitabiotics-pregnacare-plus/""]}]","[{""Banner Id"":215,""404 URLs"":[]}]",Prenatal Vitamins: Maternity Vitamins & Maternity Supplements,61,Buy prenatal vitamins from Inhealth & and enjoy same say dispatch on orders placed before 2pm via An Post Track & Trace directly from our Irish-based warehouse. Order now!,171,https://www.inhealth.ie/maternity-vitamins-supplements/,Maternity Vitamins & Supplements,Maternity Vitamins & Supplements
1216,970,Pet Gates - Extra Tall,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,20,13,"[{""Banner Id"":262,""301 URLs"":[""https://www.inhealth.ie/babydan-pet-gate-extra-tall-white-inc-1-ext-73-86cm-max-120/""]}]","[{""Banner Id"":262,""404 URLs"":[]}]","Shop Pet Gates, Dog Gates and Extra Tall Safety Gate Online",59,"Discover our exclusive range of quality Danish pet gates, dog gates and extra tall safety gates online. Order today & get next day delivery direct from Ireland",159,https://www.inhealth.ie/pet-gates-extra-tall/,Pet Gates - Extra Tall,"Pet Gates, Dog gates"
1217,966,Pregnancy Tests,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,10,10,"[{""Banner Id"":207,""301 URLs"":[]}]","[{""Banner Id"":207,""404 URLs"":[]}]",Pregnancy Tests: Buy Top Name Pregnancy Tests In Bulk Online,60,Buy top-rated pregnancy tests online from Inhealth - save time and purchase your pregnancy tests in bulk. All products are shipped directly from Ireland,152,https://www.inhealth.ie/pregnancy-tests/,Pregnancy Tests,Pregnancy Tests
1219,1471,Baby Monitors & Breathing Monitors,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,2,0,9,6,"[{""Banner Id"":296,""301 URLs"":[""https://www.inhealth.ie/angelcare-movement-sound-baby-monitor-ac403/"",""https://www.inhealth.ie/angelcare-ac1300-3-5-digital-video-movement-sound-baby-monitor/""]}]","[{""Banner Id"":296,""404 URLs"":[]}]",Baby Monitors: Top Baby Breathing Monitors For Sale,51,Inhealth has a wide choice of breathing & baby monitors from leading brands including Anglecare & Snuza. Order now for next day delivery direct from Ireland,156,https://www.inhealth.ie/baby-monitors-breathing-monitors/,Breathing Monitors & Baby Monitors,Breathing Monitors & Baby Monitors
1226,966,Ovulation Tests,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,9,7,"[{""Banner Id"":206,""301 URLs"":[]}]","[{""Banner Id"":206,""404 URLs"":[]}]","Buy Ovulation Tests: Digital Ovulation Tests Online, Ireland",60,Order ovulation tests online from Inhealth for a wide choice of digital ovulation tests & increase your chances of getting pregnant. Order before 2pm for next day delivery,171,https://www.inhealth.ie/ovulation-tests/,Ovulation Tests,Ovulation Tests
1229,1047,Breast Pads & Breast Care,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,29,18,"[{""Banner Id"":229,""301 URLs"":[]}]","[{""Banner Id"":229,""404 URLs"":[]}]",Breast Pads & Breast Care: Keeping You Dry And Pain Free,56,Browse our extensive range of breast pads and breast care products designed to keep you dry and pain free whilst breastfeeding. Buy now for next day delivery!,158,https://www.inhealth.ie/breast-pads-breast-care/,,Breast Pads & Breast Care
