ID,Brand Name,Has Page Title,Has Meta Description,Has Content,No. of live banners,Contains Redirects,Contains Broken Links,No. of Redirected URLs,No. of Broken URLs,Products,Products In Stock,301 URLs,404 URLs,Page Title,Page Title Length,Meta Description,Meta Description Length,URL,Brand Logo,Meta Keywords,Search Keywords
172,Filorga,TRUE,TRUE,TRUE,1,FALSE,FALSE,0,0,8,2,"[{""Banner Id"":373,""301 URLs"":[]}]","[{""Banner Id"":373,""404 URLs"":[]}]",Filorga: Buy Filorga From Online Authorised Irish Supplier,58,"Are you looking for specialized anti-aging skin care solutions, look no further than Filorga. Buy today online at BeautyFeatures.ie & enjoy next day delivery!",158,https://www.beautyfeatures.ie/filorga/,https://cdn11.bigcommerce.com/s-63354/product_images/o/filorga%20logo_1531222098__50161.jpg,,"anti ageing, flor"
174,The Inkey List,TRUE,TRUE,TRUE,1,FALSE,FALSE,0,0,44,36,"[{""Banner Id"":363,""301 URLs"":[]}]","[{""Banner Id"":363,""404 URLs"":[]}]",The INKEY List : Shop Affordable Skincare Online in Ireland,59,Discover The Inkey List now and shop the entire range at BeautyFeatures.ie and enjoy next day throughout Ireland from our warehouse in Bray Co Wicklow,150,https://www.beautyfeatures.ie/the-inkey-list/,https://cdn11.bigcommerce.com/s-63354/product_images/q/hahsv08m_400x400_1543393351__20698.jpg,,
175,Basq,TRUE,TRUE,TRUE,1,FALSE,FALSE,0,0,8,6,"[{""Banner Id"":408,""301 URLs"":[]}]","[{""Banner Id"":408,""404 URLs"":[]}]",Basq NYC : Pregnancy Skincare to Help Prevent Stretch Marks,59,Basq NYC is a range of awarding winning pregnancy skincare products that preventing and reducing the appearance of stretch mark. Next day delivery in Ireland,157,https://www.beautyfeatures.ie/basq/,https://cdn11.bigcommerce.com/s-63354/product_images/o/basq%20logo_1549898565__50580.jpg,,"pregnancy skincare, maternity skincare"
176,Revolution,TRUE,TRUE,TRUE,1,FALSE,FALSE,0,0,45,21,"[{""Banner Id"":374,""301 URLs"":[]}]","[{""Banner Id"":374,""404 URLs"":[]}]",Makeup Revolution : Buy Revolution Beauty Products Online,57,Buy makeup revolution & revolution beauty products online at beautyfeatures.ie. Get next day delivery on revolution products direct from our Irish warehouse,156,https://www.beautyfeatures.ie/revolution/,https://cdn11.bigcommerce.com/s-63354/product_images/m/makeup%20revolution_1550849341__92358.jpg,,
177,Beauty Blender,TRUE,TRUE,TRUE,1,FALSE,FALSE,0,0,5,4,"[{""Banner Id"":407,""301 URLs"":[]}]","[{""Banner Id"":407,""404 URLs"":[]}]",Beauty Blender : Now You Too Can Easily Master The Blend,56,The Original Beauty Blender is beloved by makeup artist and celebrities around the world and helps non makeup artists master the blends like a professionals,156,https://www.beautyfeatures.ie/beauty-blender/,https://cdn11.bigcommerce.com/s-63354/product_images/b/beautyblender_1559036098__40822.jpg,,beautyblender
178,NAK,TRUE,TRUE,TRUE,1,FALSE,FALSE,0,0,48,47,"[{""Banner Id"":379,""301 URLs"":[]}]","[{""Banner Id"":379,""404 URLs"":[]}]",NAK Hair : Buy NAK Thickening Shampoo Products Online,53,NAK is an Australian vegan haircare brand that is designed to target the causes of thinning hair in men and women. Order now & get next day delivery in Ireland,159,https://www.beautyfeatures.ie/nak/,https://cdn11.bigcommerce.com/s-63354/product_images/d/nak_1562849689__95172.jpg,,"vegan, thinning"
179,Kemon,TRUE,TRUE,TRUE,1,FALSE,FALSE,0,0,8,8,"[{""Banner Id"":414,""301 URLs"":[]}]","[{""Banner Id"":414,""404 URLs"":[]}]",Kemon AND : BeautyFeatures.ie,29,Buy AND from Kemon and get next day delivery around Ireland from our warehouse in Bray co Wicklow,97,https://www.beautyfeatures.ie/kemon/,https://cdn11.bigcommerce.com/s-63354/product_images/s/kemon_1563267120__71033.jpg,,
183,Eleven Australia,TRUE,TRUE,TRUE,1,TRUE,FALSE,5,0,36,23,"[{""Banner Id"":381,""301 URLs"":[""https://www.beautyfeatures.ie/eleven-3-minute-rinse-out-repair-treatment/"",""https://www.beautyfeatures.ie/eleven-i-want-body-volume-shampoo/"",""https://www.beautyfeatures.ie/eleven-hydrate-my-hair-moisture-conditioner/"",""https://www.beautyfeatures.ie/eleven-3-minute-rinse-out-repair-treatment/"",""https://www.beautyfeatures.ie/eleven-give-me-clean-hair-dry-shampoo/""]}]","[{""Banner Id"":381,""404 URLs"":[]}]",ELEVEN Australia : Natural Affordable  Hair Care Products,57,ELEVEN Australia is an Australian made range of affordable hair care products. ELEVEN Australia products are made using only high performing natural ingredients,160,https://www.beautyfeatures.ie/eleven-australia/,https://cdn11.bigcommerce.com/s-63354/product_images/t/eleven_1572009328__41846.jpg,,"australia, 11, eleven"
185,Advanced Nutrition,TRUE,TRUE,TRUE,1,FALSE,FALSE,0,0,11,8,"[{""Banner Id"":411,""301 URLs"":[]}]","[{""Banner Id"":411,""404 URLs"":[]}]",Advanced Nutrition Programme : Award Winning Skin Supplements,61,Advanced Nutrition Programme is an award winning range of skin supplements that promote your skins health and overall wellbeing. Next day delivery in Ireland,157,https://www.beautyfeatures.ie/advanced-nutrition/,https://cdn11.bigcommerce.com/s-63354/product_images/h/advanced%20nutrition_1582798838__70038.jpg,,skin supplements
187,Bioderma,TRUE,TRUE,TRUE,1,FALSE,FALSE,0,0,37,25,"[{""Banner Id"":398,""301 URLs"":[]}]","[{""Banner Id"":398,""404 URLs"":[]}]",BIODERMA is Prescribed and Recommended by Dermatologists,56,BIODERMA is recommended by dermatologists and is a tailored face & body routine based on ecobiological principles. Order today for next day delivery in Ireland,159,https://www.beautyfeatures.ie/bioderma/,https://cdn11.bigcommerce.com/s-63354/product_images/a/bioderma_1590658745__23927.jpg,,
